Measure Servo X
0,-0.21
1,-0.23
2,0.13
3,0.82
4,1.27
5,1.59
6,2.09
7,2.46
8,2.88
9,3.35
10,3.81
11,4.13
12,4.54
13,5.05
14,5.49
15,5.84
16,6.23
17,6.48
18,7.07
19,7.45
20,8.10
19,8.20
18,8.35
17,8.35
16,8.01
15,7.75
14,7.24
13,6.75
12,6.43
11,5.90
10,5.74
9,5.00
8,4.50
7,3.92
6,3.53
5,2.88
4,2.56
3,2.00
2,1.53
1,1.09
0,0.68
-1,0.16
-2,-0.32
-3,-0.72
-4,-1.19
-5,-1.98
-6,-2.50
-7,-2.87
-8,-3.60
-9,-3.82
-10,-4.76
-11,-5.17
-12,-5.65
-13,-6.47
-14,-7.65
-15,-8.04
-16,-8.64
-17,-9.44
-18,-9.92
-19,-10.67
-20,-11.04
-19,-11.11
-18,-11.01
-17,-10.70
-16,-10.29
-15,-9.75
-14,-8.86
-13,-7.85
-12,-7.26
-11,-6.43
-10,-5.88
-9,-5.50
-8,-4.80
-7,-4.13
-6,-3.53
-5,-2.82
-4,-2.46
-3,-1.85
-2,-1.52
-1,-1.10
0,-0.51
