Measure Servo X
15,-6.60
14,-6.57
13,-6.15
12,-5.93
11,-5.34
10,-5.10
9,-4.36
8,-3.80
7,-3.36
6,-2.84
5,-2.30
4,-2.02
3,-1.63
2,-1.08
1,-0.60
0,-0.15
-1,0.39
-2,1.02
-3,1.44
-4,1.89
-5,2.44
-6,3.02
-7,3.40
-8,4.16
-9,4.61
-10,5.34
-11,5.90
-12,6.37
-13,6.94
-14,8.27
-15,8.95
-15,8.95
-14,8.91
-13,8.16
-12,7.30
-11,6.80
-10,6.37
-9,5.82
-8,5.33
-7,4.94
-6,4.29
-5,3.40
-4,2.97
-3,2.45
-2,2.10
-1,1.60
0,0.97
1,0.70
2,0.34
3,-0.18
4,-0.70
5,-0.94
6,-1.30
7,-1.70
8,-2.25
9,-2.78
10,-3.19
11,-3.52
12,-3.84
13,-4.37
14,-4.83
15,-5.03
